"","GSM5609212","GSM5609213","GSM5609214","GSM5609215","GSM5609216","GSM5609217","GSM5609218","GSM5609219","GSM5609220","GSM5609221","GSM5609222","GSM5609223","GSM5609224","GSM5609225","GSM5609226","GSM5609227","GSM5609228","GSM5609229","GSM5609230","GSM5609231","GSM5609232","GSM5609233","GSM5609234","GSM5609235","GSM5609236","GSM5609237","GSM5609238","GSM5609239","GSM5609240","GSM5609241","GSM5609242","GSM5609243","GSM5609244","GSM5609245","GSM5609246","GSM5609247","GSM5609248","GSM5609249","GSM5609250","GSM5609333","GSM5609334","GSM5609335","GSM5609336","GSM5609337"
"5226",5653,2472,5355,3620,6251,6140,953,959,869,1131,2021,642,13123,2408,2264,2836,1479,2685,1574,2570,3813,1865,1975,1932,1798,2343,996,2757,1786,3337,2543,2025,4591,1562,4743,3167,8454,4307,2772,4338,6000,1932,5995,4104
"26270",223,162,260,194,252,462,44,71,47,36,9,19,333,38,50,44,43,91,31,67,107,81,27,34,64,33,22,41,47,53,76,49,157,32,197,40,484,154,225,175,181,92,134,205
"57085",1288,589,1545,944,1313,2144,202,204,165,229,148,48,1253,125,185,200,146,294,116,297,441,177,149,217,279,226,133,222,164,226,176,238,490,151,805,439,1558,654,621,731,1032,341,1018,927
"6390",636,332,815,531,791,985,179,128,121,175,240,79,908,275,298,292,215,269,168,382,329,223,198,209,208,184,72,244,210,370,270,303,525,184,533,207,652,397,398,684,564,285,708,579
"126917",425,245,683,557,663,1155,107,121,110,103,412,76,804,331,450,311,197,231,205,647,456,429,245,277,331,221,123,327,207,333,240,465,849,212,543,48,507,392,788,888,498,263,419,407
"9923",568,530,1224,649,1023,1165,224,239,202,174,734,198,1424,630,857,510,426,435,325,872,667,567,440,475,534,324,164,594,471,675,522,697,1236,330,1058,105,877,680,985,1634,1166,600,896,694
"712",41,52,66,76,92,54,30,18,7,2,7,4,47,3,17,7,20,11,11,23,24,19,10,9,14,12,4,12,11,18,8,9,19,7,62,5,47,38,77,15,47,24,18,27
"714",6,7,16,3,13,17,3,1,1,1,0,0,4,2,0,0,2,1,1,2,6,1,0,2,1,2,0,1,5,1,1,4,3,0,7,4,10,4,15,3,2,2,0,4
"713",28,30,40,21,30,28,5,17,10,4,9,4,32,2,4,0,4,8,16,16,17,10,3,4,1,10,0,3,10,3,5,4,23,7,16,8,29,17,52,3,10,13,12,23
"11123",1485,910,2508,926,2155,2226,503,469,534,386,2036,681,2562,2229,3963,1235,951,772,1126,2576,886,905,1312,1136,1019,568,278,1652,1211,1523,1513,1191,2247,679,1568,142,939,551,1105,2689,1489,948,2171,1184
"100506985",113,86,210,80,193,195,40,41,50,34,119,44,209,149,262,102,62,53,72,189,58,69,100,81,63,47,15,112,89,109,105,83,175,66,145,14,91,49,102,261,136,87,202,100
"9528",1962,821,3293,1871,3227,2882,912,712,543,615,1012,376,2530,1025,795,774,776,800,484,1150,767,769,543,536,582,561,248,678,641,971,888,1173,1821,532,1700,636,2093,953,1242,2306,2121,1095,2676,2224
