"","log2FoldChange"
"CD177",7.25899489006941
"MCEMP1",5.15631637781117
"ANKRD22",4.91555043920285
"RNASE2",3.2210269990144
"S100A12",4.80859957037088
"HP",5.00593079564704
"METTL7B",6.33052194657676
"FCGR1A",3.70819178141449
"ANXA3",4.01296900185255
"S100A9",3.2257732708131
"S100A8",3.98885180852078
"GPR84",5.51963930308167
"MS4A4A",3.51955942413178
"HPR",5.30621804948729
"FCGR1CP",3.62156753587034
"C1QC",5.40572781790708
"TXN",2.50109488503047
"C1QB",4.56761535677231
"IFI27",6.66930019270176
"LIPM",4.50634993642366
"ZDHHC19",6.05799854164845
"SLC26A8",2.69503115772943
"CLIC1",1.84746959014308
"LOC105369402",4.70894204396208
"GLRX",1.77523720375311
"FCGR1BP",3.06864327928835
"H2AC19",3.05838807789493
"LILRA5",2.95669621839033
"GSTO1",1.65122444524503
"MMP8",5.5624738867605
"CYSTM1",3.72950351026738
"H2AC18",2.98412290562174
"ITGA7",4.42325786733384
"UNC5A",2.95581094373468
"RNASE2CP",3.15951992676543
"UPP1",2.88292297329875
"MIR4435-2HG",1.59541854556952
"HK3",2.82821574416895
"GYG1",3.13119092541236
"LMNB1",2.07250283850011
"BLOC1S1",1.96643673193716
"SLC1A3",4.47869120326074
"POMP",1.65089122581859
"SLC7A6OS",-0.756860093753478
"NDUFB3",2.09290856401612
"FCER1G",2.90854970902899
"LOC105374304",3.85006706631359
"CLEC4D",3.59679688463948
"SLC7A6",-0.92614145831362
"AIM2",2.62398984579601
"CD63",1.9602738367871
"C1orf43",0.768777701109378
"CST7",2.93349218029729
"BCL2A1",3.25568547354401
"PLBD1",1.99088588259621
"RETN",4.35894339513169
"TP53I3",2.12338514393185
"MYL6",2.02841457081257
"GSEC",3.18765007488469
"PPARG",3.63817079092812
"NOP10",1.75463083544037
"ATP6V1E1",1.1799249618222
"OLAH",5.50304452398201
"IFITM1",2.40073233511431
"TGIF2-RAB5IF",1.62804690031978
"RAB5IF",1.66311878483011
"DYNLT1",1.85093228096201
